kind,address,expected,note
thunk,0x00044C8D,0x00673AA0,ILT of NetPlayerLeaveCommandMsg ctor (runRelayPass 0x0066A7D0; sendPlayerLeaveCommands 0x00665C44)
thunk,0x0003C44D,0x00673B00,ILT of NetPlayerLeaveCommandMsg::setLeavingPlayerID
thunk,0x0002B904,0x00673B10,ILT of NetDestroyPlayerCommandMsg ctor (runRelayPass 0x0066A846; 0x006828D0 fallback)
thunk,0x00026C33,0x00673B60,ILT of NetDestroyPlayerCommandMsg::setPlayerIndex
thunk,0x000195CE,0x006741F0,ILT of the type-7 REQUESTPLAYERLEAVE construct (sendRequestPlayerLeaveCommand 0x006648D6)
thunk,0x000306D9,0x00674240,ILT of the type-7 payload setter
thunk,0x0002A72F,0x00674130,ILT of the type-8 INFORMPLAYERLEAVEFRAME ctor (beginPlayerLeave 0x006674AD)
thunk,0x00032957,0x00667320,ILT of beginPlayerLeave (0x006829BE; 0x00682B64; 0x00682BEE)
thunk,0x00016121,0x006648A0,ILT of sendRequestPlayerLeaveCommand (Network::quitGame 0x006822EA)
thunk,0x00028D2B,0x00665C10,ILT of sendPlayerLeaveCommands (0x0068296F on MSG_CLEAR_GAME_DATA)
thunk,0x000411D7,0x00663300,ILT of sendLocalCommandDirect
thunk,0x0003F17A,0x00664740,ILT of sendLocalCommand
thunk,0x00008F4E,0x004C3800,ILT of the last call in beginPlayerLeave (PopulateInGameDiplomacyPopup)
thunk,0x000061D6,0x0061E8B0,two-hop chain 0x000061D6 -> 0x00637D10 -> 0x0001EC18 -> GameInfo::getSlot (checker must follow up to 3 hops)
thunk,0x0001EC18,0x0061E8B0,ILT of GameInfo::getSlot
thunk,0x0003ADD7,0x0008FFC0,ILT of NameKeyGenerator::nameToKey
thunk,0x0002F586,0x000DF260,ILT of PlayerList::findPlayerWithNameKey
thunk,0x000359E5,0x0008A2A0,ILT of GameMessage ctor
thunk,0x0000B9CE,0x006731A0,ILT of NetCommandList::reset
thunk,0x00049F80,0x00683830,ILT of Transport::queueSend
thunk,0x0004207D,0x00682DB0,ILT of CommandRequiresAck
thunk,0x00049CE7,0x006811B0,ILT of NetPacket::addCommand
thunk,0x00042C08,0x006814B0,ILT of NetPacket::ConstructBigCommandPacketList (anonymous row)
thunk,0x000051E6,0x00673200,ILT of NetCommandList::addMessage
thunk,0x000079E6,0x00676240,ILT of NetCommandRef ctor
thunk,0x00038960,0x00676280,ILT of ~NetCommandRef
thunk,0x0002EE6A,0x00672EC0,ILT of NetCommandList::removeMessage
thunk,0x00043AD1,0x006706A0,ILT of FrameDataManager::getFrameCommandList
thunk,0x0001D205,0x006706D0,ILT of FrameDataManager::resetFrame
thunk,0x00028B41,0x00673580,ILT of NetCommandList::appendList (anonymous row)
thunk,0x000203A6,0x00672EA0,ILT of NetCommandList ctor
thunk,0x00015D3E,0x006834B0,ILT of Transport::doSend
thunk,0x00020144,0x0050E9A0,ILT of the disconnect-screen show call in turnOnScreen
thunk,0x000330A0,0x0066BEF0,ILT of populateDisconnectScreen
thunk,0x00034905,0x0066B980,ILT of resetPlayerTimeouts
thunk,0x0000F8D0,0x00674310,ILT of NetDisconnectScreenOffCommandMsg ctor
thunk,0x00029505,0x00674370,ILT of NetDisconnectScreenOffCommandMsg::setNewFrame
thunk,0x0004A291,0x00663740,ILT of getLocalPlayerID
thunk,0x00015B72,0x00682D20,ILT of DoesCommandRequireACommandID
thunk,0x00030558,0x00682D10,ILT of GenerateNextCommandID
thunk,0x000200A4,0x00673610,ILT of NetCommandMsg::detach
thunk,0x0001514A,0x00662BB0,ILT of isPlayerConnected
thunk,0x0001F136,0x00662A50,ILT of isPlayerConnectedDefaultTimeout
thunk,0x0004A87C,0x00662BE0,ILT of the state==1 predicate (ledger isPlayerInGame)
thunk,0x000486B2,0x00662C30,ILT of the state 1..3 predicate (ledger isPlayerSlotActive)
thunk,0x00012C15,0x00674080,ILT of NetFileProgressCommandMsg::getFileID
thunk,0x00033668,0x006740A0,ILT of NetFileProgressCommandMsg::getProgress
thunk,0x000302F1,0x00669560,ILT of the progress map operator[]
thunk,0x00030909,0x00673FF0,ILT of NetFileAnnounceCommandMsg::getFileID
thunk,0x000106D6,0x00675610,ILT of NetFileAnnounceCommandMsg::getRealFilename
thunk,0x00018C0F,0x00669B50,ILT of the +0x12118 filename map operator[]
thunk,0x00043437,0x006694D0,ILT of the +0x12124 mask map operator[]
thunk,0x000478F2,0x00674010,ILT of NetFileAnnounceCommandMsg::getPlayerMask
thunk,0x00016DD8,0x00638030,ILT of the GameSlot string getter used by 0x006645B0
thunk,0x00028952,0x00638060,ILT of the first GameSlot string setter used by 0x006645B0
thunk,0x00036D31,0x006380F0,ILT of the second GameSlot string setter used by 0x006645B0
thunk,0x0002F081,0x00675C20,ILT of getText1C
thunk,0x00019EC5,0x00675CB0,ILT of getText20
thunk,0x000236DC,0x00670880,ILT of FrameDataManager::getIsQuitting
thunk,0x00012A62,0x006649E0,ILT of getPlayerNameForSlot
thunk,0x0000AD67,0x00670850,ILT of FrameDataManager::setQuitFrame
thunk,0x0001DDB8,0x00661C90,ILT of Connection::isQueueEmpty (update dtor gate)
thunk,0x00013A6B,0x00673AF0,ILT of NetPlayerLeaveCommandMsg::getLeavingPlayerID
thunk,0x0002382B,0x006658F0,ILT of processAck (cases 0..2)
thunk,0x00044139,0x006638F0,ILT of ConnectionManager::isPacketRouter
thunk,0x00016E05,0x00666240,ILT of sendGameCommand
vslot,0x0111A2CC+0x00,0x0066B820,DisconnectManager vtable: single slot (string data follows at +0x04)
vslot,0x0111C0C0+0x44,0x006B9A40,AudioManager vtable slot +0x44 = addAudioEvent (used by 0x00662CE0)
vslot,0x0111A968+0x8C,0x00681B20,Network vtable +0x8C = isPacketRouter (0x00682A90 case 10)
insn,0x00661F57,"add ecx, 0x7530",doSend MaxQuitFlushTime 30000ms on Connection+4
insn,0x00661F32,call dword ptr [0x1359544],doSend timeGetTime via IAT
insn,0x00661F4A,"cmp dword ptr [edi], -1",doSend quit test on Connection+0
insn,0x0066210E,"cmp ebp, 5",doSend five-packet cap (BFME Bool argument)
insn,0x0066206A,"cmp ecx, 0x2710",inlined doRetryMetrics 10-second window
insn,0x006620A4,"mov ecx, dword ptr [0x12ed5c8]",doSend reads TheWritableGlobalData for the +0xCB4 slack
insn,0x00661CA7,"mov dword ptr [esi], eax",setQuitting stores the quit frame at Connection+0
insn,0x00661CA9,call dword ptr [0x1359544],setQuitting timeGetTime via IAT
insn,0x00661CAF,"mov dword ptr [esi + 4], eax",setQuitting stores the time at Connection+4
insn,0x0066736A,"mov eax, dword ptr [ecx + 0x3c]",beginPlayerLeave reads TheGameLogic frame for setQuitting
insn,0x0066736F,inc eax,beginPlayerLeave passes frame+1 to setQuitting
insn,0x00667371,call 0x44845a,beginPlayerLeave -> setQuitting ILT
insn,0x00662D50,"lea eax, [ecx + 0x12060]",haveAllConnectedPlayersReachedFrame walks +0x12060
insn,0x00662D60,"mov esi, dword ptr [eax - 0x1205c]",m_connections[i] read relative to the latest-frame cursor
insn,0x00662D6A,"cmp dword ptr [eax], ecx",latest frame vs argument
insn,0x00662D9A,call 0x42442e,type-7 handler reads the leaving slot via the payload getter
insn,0x00662D9F,"cmp eax, 8",type-7 handler slot bound
insn,0x00662DAB,"mov ecx, dword ptr [esi + eax*4 + 0x12080]",type-7 handler reads the state
insn,0x00662DBD,"mov dword ptr [esi + eax*4 + 0x12080], 1",type-7 handler writes 1 (leave requested); the only writer of 1
insn,0x0066641B,"mov dword ptr [ebp + ebx*4 + 0x12080], 3",disconnectPlayer writes 3 (disconnected); the only writer of 3
insn,0x0066A77B,"lea ebp, [edi + 0x12080]",runRelayPass state walk base
insn,0x0066A78A,"cmp dword ptr [ebp], 1",runRelayPass acts on state 1 slots
insn,0x0066A89A,"mov dword ptr [ebp], 2",runRelayPass writes 2 after issuing PLAYERLEAVE+DESTROYPLAYER; the only writer of 2
insn,0x0066A7D0,call 0x444c8d,runRelayPass builds NetPlayerLeaveCommandMsg
insn,0x0066A846,call 0x42b904,runRelayPass builds NetDestroyPlayerCommandMsg
insn,0x00662BE9,"cmp dword ptr [ecx + eax*4 + 0x12080], 1",ledger isPlayerInGame tests state == 1
insn,0x00662C40,"cmp edx, 1",ledger isPlayerSlotActive lower bound
insn,0x00662C45,"cmp edx, 3",ledger isPlayerSlotActive upper bound
insn,0x00669787,"mov dword ptr [esi + 0x12080], ebx",construct zeroes the state array (ebx = 0)
insn,0x00665511,"mov dword ptr [eax + 0x20], ebx",reset body 0x00665350 zeroes +0x12080 through the +0x12060 cursor
insn,0x0066551E,"mov dword ptr [edi + 0x12110], ebx",reset body clears the leave-request stamp
insn,0x00664955,"mov dword ptr [edi + 0x12110], eax",sendRequestPlayerLeaveCommand stamps the leave request time
insn,0x0066494F,call dword ptr [0x1359544],sendRequestPlayerLeaveCommand timeGetTime
insn,0x00665CAA,"mov dword ptr [edi + 0x12110], eax",sendPlayerLeaveCommands stamps the leave request time
insn,0x00662E33,"mov eax, dword ptr [esi + 0x12110]",hasLeaveRequestTimedOut reads the stamp
insn,0x00662E4D,"mov ecx, 0x2710",hasLeaveRequestTimedOut 10-second threshold
